x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.927856	1.000000	1.739729	0.502046	1.044930	1.038665	0.945301	1.002745	1.038331	1.034061	0.984692	1.129391
0.929860	1.000000	1.743487	0.489155	1.057258	1.035954	0.948656	1.004680	1.036247	1.025953	0.986350	1.137739
0.931864	1.000000	1.747244	0.476203	1.069814	1.033093	0.952182	1.006637	1.033798	1.017223	0.988284	1.141269
0.933868	1.000000	1.751002	0.463191	1.082598	1.030079	0.955881	1.008602	1.030989	1.007989	0.990464	1.139533
0.935872	1.000000	1.754760	0.450119	1.095613	1.026909	0.959757	1.010565	1.027831	0.998388	0.992855	1.132250
0.937876	1.000000	1.758517	0.436986	1.108859	1.023581	0.963815	1.012510	1.024338	0.988576	0.995413	1.119339
0.939880	1.000000	1.762275	0.423793	1.122337	1.020092	0.968059	1.014424	1.020527	0.978727	0.998089	1.100950
0.941884	1.000000	1.766032	0.410541	1.136049	1.016438	0.972492	1.016291	1.016421	0.969032	1.000829	1.077489
0.943888	1.000000	1.769790	0.397227	1.149995	1.012616	0.977118	1.018094	1.012047	0.959696	1.003572	1.049638
0.945892	1.000000	1.773547	0.383854	1.164178	1.008625	0.981942	1.019815	1.007437	0.950939	1.006252	1.018367
0.947896	1.000000	1.777305	0.370420	1.178597	1.004459	0.986967	1.021435	1.002629	0.942990	1.008802	0.984928
0.949900	1.000000	1.781062	0.356926	1.193255	1.000118	0.992197	1.022933	0.997664	0.936086	1.011150	0.950837
0.951904	1.000000	1.784820	0.343372	1.208152	0.995596	0.997638	1.024288	0.992593	0.930465	1.013225	0.917839
0.953908	1.000000	1.788577	0.329758	1.223290	0.990893	1.003293	1.025476	0.987472	0.926363	1.014956	0.887853
0.955912	1.000000	1.792335	0.316083	1.238670	0.986003	1.009166	1.026473	0.982361	0.924009	1.016273	0.862884
0.957916	1.000000	1.796092	0.302348	1.254293	0.980925	1.015262	1.027253	0.977332	0.923612	1.017115	0.844928
0.959920	1.000000	1.799850	0.288553	1.270160	0.975655	1.021586	1.027788	0.972460	0.925358	1.017425	0.835831
0.961924	1.000000	1.803607	0.274698	1.286273	0.970190	1.028141	1.028051	0.967832	0.929398	1.017157	0.837142
0.963928	1.000000	1.807365	0.260782	1.302632	0.964526	1.034933	1.028010	0.963541	0.935833	1.016281	0.849929
0.965932	1.000000	1.811122	0.246806	1.319239	0.958662	1.041965	1.027632	0.959689	0.944709	1.014780	0.874592
0.967936	1.000000	1.814880	0.232770	1.336095	0.952593	1.049243	1.026885	0.956387	0.955990	1.012660	0.910662
0.969940	1.000000	1.818637	0.218674	1.353201	0.946316	1.056772	1.025733	0.953758	0.969550	1.009951	0.956610
0.971944	1.000000	1.822395	0.204517	1.370559	0.939828	1.064555	1.024138	0.951932	0.985150	1.006710	1.009696
0.973948	1.000000	1.826152	0.190300	1.388169	0.933126	1.072599	1.022061	0.951052	1.002414	1.003028	1.065863
0.975952	1.000000	1.829910	0.176023	1.406033	0.926206	1.080907	1.019462	0.951271	1.020807	0.999033	1.119744
0.977956	1.000000	1.833667	0.161686	1.424152	0.919066	1.089485	1.016296	0.952754	1.039605	0.994893	1.164817
0.979960	1.000000	1.837425	0.147289	1.442527	0.911702	1.098338	1.012520	0.955679	1.057864	0.990823	1.193781
0.981964	1.000000	1.841182	0.132831	1.461159	0.904110	1.107471	1.008085	0.960235	1.074385	0.987088	1.199245
0.983968	1.000000	1.844940	0.118313	1.480050	0.896288	1.116889	1.002943	0.966625	1.087677	0.984005	1.174831
0.985972	1.000000	1.848697	0.103735	1.499200	0.888232	1.126597	0.997043	0.975066	1.095911	0.981951	1.116848
0.987976	1.000000	1.852455	0.089096	1.518612	0.879938	1.136600	0.990330	0.985790	1.096876	0.981362	1.026691
0.989980	1.000000	1.856212	0.074397	1.538285	0.871404	1.146904	0.982748	0.999041	1.087923	0.982736	0.914200
0.991984	1.000000	1.859970	0.059638	1.558222	0.862625	1.157514	0.974240	1.015082	1.065909	0.986636	0.802235
0.993988	1.000000	1.863727	0.044819	1.578423	0.853599	1.168436	0.964745	1.034189	1.027137	0.993688	0.732791
0.995992	1.000000	1.867485	0.029940	1.598890	0.844321	1.179674	0.954199	1.056657	0.967278	1.004581	0.775050
0.997996	1.000000	1.871242	0.015000	1.619623	0.834790	1.191236	0.942535	1.082797	0.881304	1.020060	1.035858
1.000000	1.000000	1.875000	-0.000000	1.640625	0.825000	1.203125	0.929687	1.112937	0.763398	1.040925	1.673181
